replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
2,1.9,23038,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-723.502,524325.352,-1.808755,0.9367624999999999,0.8787553124999999,0.9367624999999999,0.057721249999999995,-1.81276,-1.80475,0.940635,0.9328899999999999
2,2.05,23039,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-683.862,469044.504,-1.709655,0.8944500000000001,0.80241275,0.8944500000000001,0.09153499999999999,-1.70444,-1.71487,0.8904050000000001,0.898495
2,2.1,23040,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-666.698,446143.0,-1.666745,0.87258,0.7654369,0.87258,0.10686500000000002,-1.6649699999999998,-1.66852,0.87061,0.87455
2,2.15,23041,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-650.146,424549.816,-1.625365,0.8511025,0.7299556624999999,0.8511025,0.12258875000000001,-1.62957,-1.62116,0.849665,0.8525400000000001
2,2.2,23042,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-613.996,379861.696,-1.5349899999999999,0.7720025,0.6218082125,0.7720475,0.15483125,-1.55985,-1.5101300000000002,0.81421,0.729885
2,2.23,23043,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-609.566,373844.536,-1.5239150000000001,-0.79056,0.6350694,0.79056,0.1584275,-1.5298800000000001,-1.5179500000000001,0.79371,0.78741
2,2.25,23044,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-586.138,347476.2,-1.4653450000000001,0.6929025,0.5230693125,0.6936475000000001,0.18063125,-1.49233,-1.43836,0.75427,0.6330250000000001
2,2.269185314213022,23045,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-580.43,339597.096,-1.451075,-0.7061375000000001,0.5252451125,0.7061375000000001,0.18558375000000002,-1.44285,-1.4593,0.7096800000000001,0.7025950000000001
2,2.29,23046,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-573.112,331721.792,-1.43278,-0.3935325,0.5078746125,0.6874325000000001,0.19440125,-1.4773600000000002,-1.3882,0.7590100000000001,0.615855
2,2.32,23047,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-515.264,268789.072,-1.28816,0.2819975,0.2400634625,0.4156125,0.24718374999999998,-1.2650700000000001,-1.31125,0.367105,0.46412
