temperature_index,temperature,split_name,initial_state,configuration_count,chain_count,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,mean_acceptance_fraction
15,2.7,test,down,50,1,-0.9553999999999999,-0.0225,0.1807,0.38744375
15,2.7,test,up,50,1,-0.965,0.017300000000000003,0.17350000000000002,0.38961124999999996
15,2.7,train,down,50,1,-0.9826,0.0209,0.2241,0.38741
15,2.7,train,up,50,1,-0.9494,-0.0183,0.2173,0.38572875
15,2.7,validation,down,50,1,-0.9484,-0.004699999999999997,0.2177,0.39004875
15,2.7,validation,up,50,1,-0.9532,0.0938,0.19940000000000002,0.38904875000000005
16,3.0,test,down,50,1,-0.8104,-0.0196,0.1288,0.4614675
16,3.0,test,up,50,1,-0.8073999999999999,0.017200000000000003,0.126,0.46308875
16,3.0,train,down,50,1,-0.7964,-0.012199999999999999,0.1252,0.46710124999999997
16,3.0,train,up,50,1,-0.7948000000000001,0.0571,0.1173,0.46186374999999996
16,3.0,validation,down,50,1,-0.8386,-0.022,0.1464,0.45999750000000006
16,3.0,validation,up,50,1,-0.8162,-0.0294,0.1462,0.46265124999999996
17,3.5,test,down,50,1,-0.67,0.0241,0.1091,0.55004875
17,3.5,test,up,50,1,-0.6748000000000001,0.0077,0.1035,0.5488875
17,3.5,train,down,50,1,-0.6456000000000001,-0.0102,0.0924,0.54956
17,3.5,train,up,50,1,-0.6444,0.0123,0.1067,0.5469700000000001
17,3.5,validation,down,50,1,-0.6512,-0.0081,0.1015,0.54783625
17,3.5,validation,up,50,1,-0.6514,-0.0025,0.1047,0.55018375
